user,drink_1,drink_2,drink_3
Ryan19908\n,Belly Blaster Garcinia-ccino,Maple chip Frappuccino,Chocolate Cinnamon Frappuccino
Lompie\n,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite,Frappuccino flavor
VAMPESS7\n,Raspberry creamsicle frappuccino,Pumpkin Spice in a glass Jar,Trenta Frappucino
KrystaandIan\n,Frappuccino flavor,Devil's Drink,How about a birthday cake drink?
KBC1969\n,Sakura Mochi Frappucino,A Red Velvet Frappuccino,Pumpkin Spice in a glass Jar
Sarahski\n,Frappuccino flavor,Pumpkin Spice in a glass Jar,Belly Blaster Garcinia-ccino
tkdmom\n,Decaf Bottled Mocha Lite,Devil's Drink,Vanilla frapacinos please!
kell\n,Belly Blaster Garcinia-ccino,The Classic Frapp,Decaf Bottled Mocha Lite
mani123\n,A Red Velvet Frappuccino,Maple chip Frappuccino,Devil's Drink
proudwifeada\n,Decaf Green tea frappucino,Thin Mint Frapp,Chocolate Cinnamon Frappuccino
winstonsalem\n,The Classic Frapp,How about a birthday cake drink?,Decaf Green tea frappucino
jctorres\n,How about a birthday cake drink?,Decaf Bottled Mocha Lite,Devil's Drink
jefry\n,Decaf Bottled Mocha Lite,Caffeine free vanilla frap in a bottle,Pumpkin Spice in a glass Jar
Slew\n,Decaf Bottled Mocha Lite,Frappuccino flavor,A Red Velvet Frappuccino
maijaahonen\n,Decaf Green tea frappucino,Vanilla frapacinos please!,Devil's Drink
aesun\n,Pumpkin Spice in a glass Jar,Trenta Frappucino,Belly Blaster Garcinia-ccino
SBXMAM\n,Raspberry creamsicle frappuccino,Chocolate Cinnamon Frappuccino,Vanilla frapacinos please!
maryjack\n,Caffeine free vanilla frap in a bottle,Raspberry creamsicle frappuccino,Chocolate Cinnamon Frappuccino
FoodieP\n,Chocolate Cinnamon Frappuccino,Raspberry creamsicle frappuccino,Caffeine free vanilla frap in a bottle
latte_girl00\n,The Classic Frapp,Pumpkin Spice in a glass Jar,Thin Mint Frapp
Hugger\n,Decaf Green tea frappucino,Vanilla frapacinos please!,Thin Mint Frapp
chicagoj\n,Pumpkin Spice in a glass Jar,Trenta Frappucino,Thin Mint Frapp
redsteve\n,Decaf Green tea frappucino,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite
Terbuz\n,Decaf Green tea frappucino,Salted hazelnut frappuccino !,Decaf Bottled Mocha Lite
clpnyc\n,The Classic Frapp,Pumpkin Spice in a glass Jar,Frappuccino flavor
CatalinaM\n,The Classic Frapp,Frappuccino flavor,How about a birthday cake drink?
coffeeloverxD1\n,How about a birthday cake drink?,Belly Blaster Garcinia-ccino,Decaf Bottled Mocha Lite
JasonB\n,Thin Mint Frapp,How about a birthday cake drink?,Salted hazelnut frappuccino !
harleyflanders\n,Sakura Mochi Frappucino,Devil's Drink,Maple chip Frappuccino
George4ever\n,Decaf Green tea frappucino,Bring back the Classic Frappuccino,Thin Mint Frapp
krisi53\n,Decaf Green tea frappucino,Frappuccino flavor,Caffeine free vanilla frap in a bottle
tealemonade\n,Pumpkin Spice in a glass Jar,Devil's Drink,The Classic Frapp
KoolKups\n,Pumpkin Spice in a glass Jar,Trenta Frappucino,Vanilla frapacinos please!
FN2388\n,Decaf Bottled Mocha Lite,Pumpkin Spice in a glass Jar,How about a birthday cake drink?
StrbckIdea\n,Devil's Drink,The Classic Frapp,Frappuccino flavor
Pablo\n,Vanilla frapacinos please!,Pumpkin Spice in a glass Jar,Peanut butter drizzle & peanut butter frapp or choc pb frapp
kathybme\n,Thin Mint Frapp,How about a birthday cake drink?,Pumpkin Spice in a glass Jar
icedventima\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
alyshagray\n,Salted hazelnut frappuccino !,Chocolate Cinnamon Frappuccino,Decaf Bottled Mocha Lite
flutterbyy\n,Decaf Green tea frappucino,Decaf Bottled Mocha Lite,Thin Mint Frapp
Dr_Mupapa\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Belly Blaster Garcinia-ccino,Decaf Green tea frappucino
eabjork\n,Trenta Frappucino,Caffeine free vanilla frap in a bottle,Belly Blaster Garcinia-ccino
capitts\n,Thin Mint Frapp,Trenta Frappucino,The Classic Frapp
sbhippie\n,A Red Velvet Frappuccino,Decaf Green tea frappucino,Peanut butter drizzle & peanut butter frapp or choc pb frapp
SoyVnila\n,Belly Blaster Garcinia-ccino,Pumpkin Spice in a glass Jar,The Classic Frapp
ArborMt\n,The Classic Frapp,Decaf Bottled Mocha Lite,Pumpkin Spice in a glass Jar
cafebeagle\n,A Red Velvet Frappuccino,Belly Blaster Garcinia-ccino,Salted hazelnut frappuccino !
brownsweet\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,How about a birthday cake drink?,Pumpkin Spice in a glass Jar
mrjimmy\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Decaf Green tea frappucino,Pumpkin Spice in a glass Jar
Pam\n,Vanilla frapacinos please!,Pumpkin Spice in a glass Jar,Frappuccino flavor
Smoppes1\n,Trenta Frappucino,Vanilla frapacinos please!,Frappuccino flavor
Kkrame\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
MsmileyD\n,Bring back the dark chocolate cherry frap,Chocolate Cinnamon Frappuccino,Frappuccino flavor
Dulce\n,Pumpkin Spice in a glass Jar,Frappuccino flavor,The Classic Frapp
mistyacr\n,Frappuccino flavor,Decaf Green tea frappucino,Bring back the Classic Frappuccino
klebsack\n,How about a birthday cake drink?,Frappuccino flavor,Belly Blaster Garcinia-ccino
ericj610\n,Bring back the Classic Frappuccino,Pumpkin Spice in a glass Jar,Caffeine free vanilla frap in a bottle
banity\n,Maple chip Frappuccino,Decaf Bottled Mocha Lite,Belly Blaster Garcinia-ccino
sola\n,Pumpkin Spice in a glass Jar,A Red Velvet Frappuccino,Maple chip Frappuccino
Lbrandy1\n,Belly Blaster Garcinia-ccino,Pumpkin Spice in a glass Jar,Salted hazelnut frappuccino !
rjmonta\n,Frappuccino flavor,Decaf Bottled Mocha Lite,A Red Velvet Frappuccino
Inspired87\n,Frappuccino flavor,A Red Velvet Frappuccino,Chocolate Cinnamon Frappuccino
CaribQT\n,Thin Mint Frapp,Devil's Drink,Maple chip Frappuccino
davidrdriscoll\n,Thin Mint Frapp,Frappuccino flavor,Caffeine free vanilla frap in a bottle
and_more\n,Pumpkin Spice in a glass Jar,Salted hazelnut frappuccino !,Decaf Bottled Mocha Lite
Willards69\n,Trenta Frappucino,Maple chip Frappuccino,Frappuccino flavor
Delilah\n,How about a birthday cake drink?,Decaf Bottled Mocha Lite,Sakura Mochi Frappucino
tictoc\n,Maple chip Frappuccino,Caffeine free vanilla frap in a bottle,How about a birthday cake drink?
raeolite\n,Decaf Bottled Mocha Lite,Frappuccino flavor,Pumpkin Spice in a glass Jar
xpressoh\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Bring back the Classic Frappuccino,Decaf Green tea frappucino
MLoria\n,Devil's Drink,Pumpkin Spice in a glass Jar,How about a birthday cake drink?
sasoderl\n,Salted hazelnut frappuccino !,Bring back the dark chocolate cherry frap,Bring back the Classic Frappuccino
NJJenn74\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Decaf Bottled Mocha Lite
Tripp\n,How about a birthday cake drink?,The Classic Frapp,Decaf Green tea frappucino
SunnySD\n,Frappuccino flavor,Pumpkin Spice in a glass Jar,The Classic Frapp
KarineRivet\n,Decaf Bottled Mocha Lite,The Classic Frapp,Chocolate Cinnamon Frappuccino
UncleBuck\n,Trenta Frappucino,Vanilla frapacinos please!,Caffeine free vanilla frap in a bottle
zhuchen\n,Pumpkin Spice in a glass Jar,The Classic Frapp,Chocolate Cinnamon Frappuccino
ann26\n,How about a birthday cake drink?,Frappuccino flavor,Salted hazelnut frappuccino !
ElSchteek\n,Pumpkin Spice in a glass Jar,The Classic Frapp,Chocolate Cinnamon Frappuccino
billyjoel\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Devil's Drink
adob50\n,Salted hazelnut frappuccino !,How about a birthday cake drink?,Thin Mint Frapp
traceyfitz\n,The Classic Frapp,Frappuccino flavor,Decaf Bottled Mocha Lite
tahiti\n,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite,Maple chip Frappuccino
lsophia\n,Caffeine free vanilla frap in a bottle,How about a birthday cake drink?,Chocolate Cinnamon Frappuccino
Flygjava\n,Pumpkin Spice in a glass Jar,Caffeine free vanilla frap in a bottle,The Classic Frapp
frankie1\n,How about a birthday cake drink?,Sakura Mochi Frappucino,Maple chip Frappuccino
forgottenhome\n,Trenta Frappucino,Frappuccino flavor,Decaf Bottled Mocha Lite
dabeho\n,How about a birthday cake drink?,Frappuccino flavor,Pumpkin Spice in a glass Jar
miracle27\n,Trenta Frappucino,A Red Velvet Frappuccino,Chocolate Cinnamon Frappuccino
Coppergirl\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
gjkoras\n,Pumpkin Spice in a glass Jar,Chocolate Cinnamon Frappuccino,Decaf Bottled Mocha Lite
venice\n,Bring back the dark chocolate cherry frap,Bring back the Classic Frappuccino,Pumpkin Spice in a glass Jar
me32\n,Belly Blaster Garcinia-ccino,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite
msherry1000\n,The Classic Frapp,Frappuccino flavor,Devil's Drink
Dbakess\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Devil's Drink
jane2323\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Thin Mint Frapp,Pumpkin Spice in a glass Jar
GIVENRECEIVE\n,Trenta Frappucino,Devil's Drink,Caffeine free vanilla frap in a bottle
keokab\n,Pumpkin Spice in a glass Jar,Thin Mint Frapp,Sakura Mochi Frappucino
mcgutierrez01\n,Raspberry creamsicle frappuccino,Chocolate Cinnamon Frappuccino,Caffeine free vanilla frap in a bottle
OStateOK\n,How about a birthday cake drink?,Pumpkin Spice in a glass Jar,Frappuccino flavor
Harley50th\n,Sakura Mochi Frappucino,How about a birthday cake drink?,Belly Blaster Garcinia-ccino
FloridaTeacher\n,Vanilla frapacinos please!,Sakura Mochi Frappucino,The Classic Frapp
Ellsswhere\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,How about a birthday cake drink?,Pumpkin Spice in a glass Jar
starbucks4reg\n,Bring back the Classic Frappuccino,Thin Mint Frapp,Pumpkin Spice in a glass Jar
grantrss\n,Pumpkin Spice in a glass Jar,Frappuccino flavor,Trenta Frappucino
d8ad52c9-0b46-4a43-9177-b8d59bf74367\n,Maple chip Frappuccino,Devil's Drink,Chocolate Cinnamon Frappuccino
wakkopoe\n,Decaf Green tea frappucino,Belly Blaster Garcinia-ccino,Thin Mint Frapp
rusgel\n,Vanilla frapacinos please!,Sakura Mochi Frappucino,Maple chip Frappuccino
nedrey\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Caffeine free vanilla frap in a bottle
Mannagal\n,Decaf Bottled Mocha Lite,Belly Blaster Garcinia-ccino,Pumpkin Spice in a glass Jar
alenem\n,Decaf Green tea frappucino,Thin Mint Frapp,Vanilla frapacinos please!
BuckeyeMan\n,Sakura Mochi Frappucino,The Classic Frapp,Chocolate Cinnamon Frappuccino
Sneffi\n,Pumpkin Spice in a glass Jar,Raspberry creamsicle frappuccino,Devil's Drink
JoyMar\n,Pumpkin Spice in a glass Jar,The Classic Frapp,How about a birthday cake drink?
TheBon\n,Decaf Green tea frappucino,Thin Mint Frapp,Devil's Drink
Chaidye\n,Devil's Drink,Pumpkin Spice in a glass Jar,Belly Blaster Garcinia-ccino
victorious1\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Salted hazelnut frappuccino !,How about a birthday cake drink?
Cheeka\n,Caffeine free vanilla frap in a bottle,Pumpkin Spice in a glass Jar,How about a birthday cake drink?
kdlele\n,Decaf Green tea frappucino,Thin Mint Frapp,Devil's Drink
sewergurl\n,Raspberry creamsicle frappuccino,Pumpkin Spice in a glass Jar,Peanut butter drizzle & peanut butter frapp or choc pb frapp
sgurney\n,How about a birthday cake drink?,Pumpkin Spice in a glass Jar,Trenta Frappucino
Richar62\n,How about a birthday cake drink?,Devil's Drink,Pumpkin Spice in a glass Jar
longhrs\n,Vanilla frapacinos please!,How about a birthday cake drink?,Frappuccino flavor
pakowki\n,Cotton Candy Frap,Decaf Bottled Mocha Lite,Belly Blaster Garcinia-ccino
rayandsay\n,The Classic Frapp,Salted hazelnut frappuccino !,How about a birthday cake drink?
BeQay\n,How about a birthday cake drink?,Devil's Drink,The Classic Frapp
Jstncase\n,Frappuccino flavor,A Red Velvet Frappuccino,How about a birthday cake drink?
erookey\n,Salted hazelnut frappuccino !,How about a birthday cake drink?,Pumpkin Spice in a glass Jar
coffee31\n,How about a birthday cake drink?,Pumpkin Spice in a glass Jar,Caffeine free vanilla frap in a bottle
janecoffee\n,Devil's Drink,Sakura Mochi Frappucino,Frappuccino flavor
6SugarMocha\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Decaf Bottled Mocha Lite
OneBlonde\n,Decaf Bottled Mocha Lite,Caffeine free vanilla frap in a bottle,Decaf Green tea frappucino
elstella\n,Decaf Green tea frappucino,The Classic Frapp,Salted hazelnut frappuccino !
finicky\n,Bring back the Classic Frappuccino,Frappuccino flavor,Salted hazelnut frappuccino !
forreal\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Devil's Drink
kai6novi\n,Maple chip Frappuccino,Bring back the dark chocolate cherry frap,Devil's Drink
ddwife\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,How about a birthday cake drink?,Pumpkin Spice in a glass Jar
wyfantnt\n,Caffeine free vanilla frap in a bottle,The Classic Frapp,Chocolate Cinnamon Frappuccino
edm15\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,How about a birthday cake drink?
AliceZhang1234\n,Belly Blaster Garcinia-ccino,Sakura Mochi Frappucino,The Classic Frapp
XtallMocha\n,How about a birthday cake drink?,Frappuccino flavor,Chocolate Cinnamon Frappuccino
grandeskimcap\n,Decaf Green tea frappucino,Decaf Bottled Mocha Lite,How about a birthday cake drink?
laur2835\n,Pumpkin Spice in a glass Jar,Trenta Frappucino,Decaf Bottled Mocha Lite
mandymanesh\n,Vanilla frapacinos please!,Frappuccino flavor,Thin Mint Frapp
dana_s\n,Bring back the Classic Frappuccino,The Classic Frapp,Chocolate Cinnamon Frappuccino
Taco\n,Frappuccino flavor,Belly Blaster Garcinia-ccino,The Classic Frapp
pumpkinlover97\n,Pumpkin Spice in a glass Jar,Vanilla frapacinos please!,Decaf Bottled Mocha Lite
bballmer\n,Pumpkin Spice in a glass Jar,The Classic Frapp,Devil's Drink
Jllman\n,Maple chip Frappuccino,Bring back the dark chocolate cherry frap,Devil's Drink
GR8Java\n,Salted hazelnut frappuccino !,How about a birthday cake drink?,Sakura Mochi Frappucino
Terra75\n,How about a birthday cake drink?,Pumpkin Spice in a glass Jar,The Classic Frapp
cvann077\n,Trenta Frappucino,Caffeine free vanilla frap in a bottle,Vanilla frapacinos please!
MaryLiza\n,Bring back the Classic Frappuccino,Frappuccino flavor,Decaf Green tea frappucino
DBoggs\n,Frappuccino flavor,Belly Blaster Garcinia-ccino,The Classic Frapp
keoki21\n,Decaf Bottled Mocha Lite,The Classic Frapp,Chocolate Cinnamon Frappuccino
starbucksguru12\n,Bring back the Classic Frappuccino,Decaf Bottled Mocha Lite,The Classic Frapp
sdpetrarca\n,Pumpkin Spice in a glass Jar,Bring back the dark chocolate cherry frap,Bring back the Classic Frappuccino
krazy4starbks\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Sakura Mochi Frappucino,The Classic Frapp
Dreyneerose\n,Frappuccino flavor,How about a birthday cake drink?,The Classic Frapp
Casafamily\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
Magpie54\n,Cotton Candy Frap,Pumpkin Spice in a glass Jar,Caffeine free vanilla frap in a bottle
organia\n,Frappuccino flavor,The Classic Frapp,Belly Blaster Garcinia-ccino
BruinJef\n,Decaf Green tea frappucino,Caffeine free vanilla frap in a bottle,Trenta Frappucino
grotepimmel\n,A Red Velvet Frappuccino,Decaf Bottled Mocha Lite,Frappuccino flavor
annemccabe\n,Vanilla frapacinos please!,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
Stache\n,The Classic Frapp,Pumpkin Spice in a glass Jar,Frappuccino flavor
COFFEEIS\n,Pumpkin Spice in a glass Jar,The Classic Frapp,Chocolate Cinnamon Frappuccino
necprc\n,Caffeine free vanilla frap in a bottle,Decaf Bottled Mocha Lite,How about a birthday cake drink?
blakemed\n,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite,The Classic Frapp
crescendoll\n,How about a birthday cake drink?,Decaf Green tea frappucino,Pumpkin Spice in a glass Jar
MakeBucks\n,Devil's Drink,Thin Mint Frapp,Maple chip Frappuccino
chads\n,How about a birthday cake drink?,Decaf Bottled Mocha Lite,Pumpkin Spice in a glass Jar
N175312\n,Decaf Green tea frappucino,Thin Mint Frapp,Belly Blaster Garcinia-ccino
Jivejava\n,Pumpkin Spice in a glass Jar,Thin Mint Frapp,How about a birthday cake drink?
pikachiu132\n,Decaf Green tea frappucino,Thin Mint Frapp,Chocolate Cinnamon Frappuccino
OurMTDN\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Decaf Bottled Mocha Lite,Caffeine free vanilla frap in a bottle
hollister503\n,Decaf Green tea frappucino,Thin Mint Frapp,Decaf Bottled Mocha Lite
holliday\n,Frappuccino flavor,Pumpkin Spice in a glass Jar,The Classic Frapp
pechipy\n,Vanilla frapacinos please!,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Pumpkin Spice in a glass Jar
leelamay\n,Devil's Drink,The Classic Frapp,Thin Mint Frapp
Darkkprncess\n,Belly Blaster Garcinia-ccino,Trenta Frappucino,How about a birthday cake drink?
PFraley\n,Pumpkin Spice in a glass Jar,Trenta Frappucino,Decaf Green tea frappucino
atomicb\n,Sakura Mochi Frappucino,How about a birthday cake drink?,Pumpkin Spice in a glass Jar
Duukes\n,Trenta Frappucino,Decaf Green tea frappucino,Bring back the Classic Frappuccino
luvestima\n,Decaf Bottled Mocha Lite,How about a birthday cake drink?,Frappuccino flavor
temple\n,Devil's Drink,Frappuccino flavor,Pumpkin Spice in a glass Jar
its_okay\n,How about a birthday cake drink?,Decaf Bottled Mocha Lite,Frappuccino flavor
Vitaco\n,Devil's Drink,Frappuccino flavor,Decaf Green tea frappucino
cerksees\n,Bring back the Classic Frappuccino,Pumpkin Spice in a glass Jar,Chocolate Cinnamon Frappuccino
BRudders\n,Frappuccino flavor,Belly Blaster Garcinia-ccino,The Classic Frapp
msteiniger\n,Maple chip Frappuccino,Chocolate Cinnamon Frappuccino,Devil's Drink
adw3566\n,Decaf Bottled Mocha Lite,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Sakura Mochi Frappucino
LindyNichols\n,Pumpkin Spice in a glass Jar,Trenta Frappucino,Frappuccino flavor
coffee920\n,Trenta Frappucino,Devil's Drink,Pumpkin Spice in a glass Jar
ColoradoJohn\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Caffeine free vanilla frap in a bottle
Annyong\n,Devil's Drink,Chocolate Cinnamon Frappuccino,Belly Blaster Garcinia-ccino
KidSafeMoms\n,Vanilla frapacinos please!,Frappuccino flavor,Decaf Green tea frappucino
supercoupe\n,Devil's Drink,Frappuccino flavor,Decaf Bottled Mocha Lite
jaygeek\n,Frappuccino flavor,Belly Blaster Garcinia-ccino,Decaf Bottled Mocha Lite
kc1472\n,Decaf Green tea frappucino,Thin Mint Frapp,Peanut butter drizzle & peanut butter frapp or choc pb frapp
BonMik\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Decaf Bottled Mocha Lite
delxis\n,How about a birthday cake drink?,Caffeine free vanilla frap in a bottle,Peanut butter drizzle & peanut butter frapp or choc pb frapp
melcat72\n,Frappuccino flavor,How about a birthday cake drink?,Salted hazelnut frappuccino !
runningson\n,Chocolate Cinnamon Frappuccino,Decaf Bottled Mocha Lite,Sakura Mochi Frappucino
Beezer1\n,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite,The Classic Frapp
3BE38A54-67F8-4471-A195-8CAF9D2B20C3\n,Vanilla frapacinos please!,Sakura Mochi Frappucino,Pumpkin Spice in a glass Jar
britbabe\n,How about a birthday cake drink?,Pumpkin Spice in a glass Jar,Frappuccino flavor
karli\n,Decaf Green tea frappucino,Pumpkin Spice in a glass Jar,A Red Velvet Frappuccino
ciratoby\n,Pumpkin Spice in a glass Jar,Caffeine free vanilla frap in a bottle,How about a birthday cake drink?
Esquimaux\n,The Classic Frapp,Decaf Bottled Mocha Lite,Devil's Drink
cater\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Frappuccino flavor,How about a birthday cake drink?
URFrapismydrug\n,Trenta Frappucino,Pumpkin Spice in a glass Jar,Cotton Candy Frap
Stellaaaaa\n,Devil's Drink,The Classic Frapp,Frappuccino flavor
phuqr\n,Belly Blaster Garcinia-ccino,Bring back the Classic Frappuccino,Frappuccino flavor
cindabeckm\n,A Red Velvet Frappuccino,Frappuccino flavor,Decaf Bottled Mocha Lite
CoffeePerk\n,How about a birthday cake drink?,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Decaf Bottled Mocha Lite
roxy23_66\n,Vanilla frapacinos please!,The Classic Frapp,Chocolate Cinnamon Frappuccino
CAR116\n,Sakura Mochi Frappucino,Frappuccino flavor,Thin Mint Frapp
mrf167\n,Pumpkin Spice in a glass Jar,Frappuccino flavor,Decaf Bottled Mocha Lite
psb1969\n,Raspberry creamsicle frappuccino,Trenta Frappucino,Chocolate Cinnamon Frappuccino
CharlesDollars\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Decaf Green tea frappucino,Frappuccino flavor
CoffeeQ\n,Trenta Frappucino,The Classic Frapp,Caffeine free vanilla frap in a bottle
angielewhoo\n,How about a birthday cake drink?,The Classic Frapp,Chocolate Cinnamon Frappuccino
Hope21\n,A Red Velvet Frappuccino,Chocolate Cinnamon Frappuccino,Salted hazelnut frappuccino !
jordantheginga\n,Chocolate Cinnamon Frappuccino,Raspberry creamsicle frappuccino,Decaf Bottled Mocha Lite
cookieknits\n,Frappuccino flavor,Decaf Bottled Mocha Lite,Decaf Green tea frappucino
sullygirl\n,Caffeine free vanilla frap in a bottle,Decaf Green tea frappucino,Decaf Bottled Mocha Lite
kikibabe\n,Trenta Frappucino,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite
bigjamdaddy\n,Sakura Mochi Frappucino,Frappuccino flavor,Peanut butter drizzle & peanut butter frapp or choc pb frapp
Sparkay\n,The Classic Frapp,Caffeine free vanilla frap in a bottle,Chocolate Cinnamon Frappuccino
FreeHots\n,Caffeine free vanilla frap in a bottle,Decaf Green tea frappucino,How about a birthday cake drink?
carameljava\n,Maple chip Frappuccino,Bring back the dark chocolate cherry frap,Devil's Drink
zizzle\n,Pumpkin Spice in a glass Jar,Frappuccino flavor,Decaf Bottled Mocha Lite
Stockton\n,Pumpkin Spice in a glass Jar,Decaf Bottled Mocha Lite,Frappuccino flavor
CoffeeQwn\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Chocolate Cinnamon Frappuccino,Raspberry creamsicle frappuccino
Sherbert\n,How about a birthday cake drink?,Belly Blaster Garcinia-ccino,Chocolate Cinnamon Frappuccino
PavelL\n,Cotton Candy Frap,How about a birthday cake drink?,Salted hazelnut frappuccino !
Jitendra\n,Trenta Frappucino,The Classic Frapp,Frappuccino flavor
Whiteknuckle\n,Trenta Frappucino,How about a birthday cake drink?,Frappuccino flavor
CoffeeMugged\n,Thin Mint Frapp,Pumpkin Spice in a glass Jar,Salted hazelnut frappuccino !
paygirl\n,Vanilla frapacinos please!,Caffeine free vanilla frap in a bottle,How about a birthday cake drink?
eaguilar\n,Salted hazelnut frappuccino !,Pumpkin Spice in a glass Jar,Frappuccino flavor
Alejandro1031\n,Vanilla frapacinos please!,Decaf Bottled Mocha Lite,Belly Blaster Garcinia-ccino
jacksnap\n,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Sakura Mochi Frappucino,Frappuccino flavor
rdiamond\n,How about a birthday cake drink?,Peanut butter drizzle & peanut butter frapp or choc pb frapp,Maple chip Frappuccino
Janay\n,Sakura Mochi Frappucino,A Red Velvet Frappuccino,Frappuccino flavor
rphailey\n,Chocolate Cinnamon Frappuccino,Raspberry creamsicle frappuccino,Cotton Candy Frap
jeniel\n,Pumpkin Spice in a glass Jar,How about a birthday cake drink?,Salted hazelnut frappuccino !
Ruthy\n,Raspberry creamsicle frappuccino,Belly Blaster Garcinia-ccino,Chocolate Cinnamon Frappuccino
